Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|still.|, |0|, |0|, |1|, |0|, |1|
|fashion,|, |0|, |0|, |2|, |1|, |3|
|staircase.|, |0|, |0|, |1|, |0|, |1|
|avez|, |1|, |0|, |1|, |0|, |2|
|ne|, |1|, |0|, |1|, |0|, |2|
|credence|, |0|, |1|, |0|, |0|, |1|
|visitors!"|, |0|, |0|, |1|, |1|, |2|
|since."|, |0|, |0|, |1|, |0|, |1|
|soft|, |2|, |3|, |2|, |1|, |8|
|intenser,|, |0|, |0|, |1|, |0|, |1|
|others.|, |0|, |0|, |1|, |2|, |3|
|returned--no|, |0|, |0|, |1|, |0|, |1|
|form|, |2|, |0|, |1|, |0|, |3|
|official|, |1|, |1|, |1|, |1|, |4|
|stitches|, |1|, |1|, |1|, |1|, |4|
|can."|, |0|, |0|, |1|, |1|, |2|
|servants|, |1|, |1|, |0|, |0|, |2|
|shade;|, |0|, |0|, |1|, |1|, |2|
|coffee,"|, |0|, |0|, |3|, |2|, |5|
|"Gérôme."|, |0|, |0|, |0|, |1|, |1|
|doubt!|, |0|, |0|, |0|, |1|, |1|
|convinced|, |1|, |0|, |1|, |0|, |2|
|pain.|, |0|, |0|, |1|, |1|, |2|
|curiously,|, |0|, |0|, |0|, |1|, |1|
|conveyed|, |1|, |0|, |1|, |0|, |2|
|shabby.|, |0|, |0|, |0|, |1|, |1|
|first|, |12|, |10|, |10|, |9|, |41|
|lay|, |2|, |2|, |2|, |2|, |8|
|besprinkled|, |1|, |1|, |1|, |1|, |4|
|bran|, |1|, |1|, |0|, |0|, |2|
|sallied|, |1|, |0|, |1|, |0|, |2|
|Salle-a-Manger|, |1|, |0|, |0|, |0|, |1|
|dreams|, |1|, |1|, |1|, |1|, |4|
|aud|, |0|, |1|, |0|, |1|, |2|
|choice|, |1|, |1|, |1|, |1|, |4|
|year|, |2|, |2|, |1|, |1|, |6|
|complimented|, |1|, |1|, |1|, |1|, |4|
|sailor,|, |0|, |0|, |0|, |1|, |1|
|therefore|, |2|, |1|, |2|, |1|, |6|
|exile|, |1|, |1|, |0|, |0|, |2|
|laxity|, |1|, |0|, |1|, |0|, |2|
|understand|, |5|, |5|, |5|, |5|, |20|
|communed|, |1|, |0|, |1|, |0|, |2|
|dressing-gown,|, |0|, |0|, |0|, |1|, |1|
|dingier|, |1|, |0|, |1|, |0|, |2|
|Latouche|, |8|, |8|, |5|, |2|, |23|
|fatigue|, |1|, |0|, |0|, |0|, |1|
|chairs|, |3|, |3|, |2|, |2|, |10|
|unable|, |0|, |2|, |0|, |2|, |4|
|prospective|, |0|, |1|, |0|, |1|, |2|
|appeal|, |3|, |0|, |2|, |0|, |5|
|why|, |5|, |4|, |2|, |1|, |12|
|Havre,|, |0|, |0|, |1|, |2|, |3|
|say|, |14|, |10|, |9|, |9|, |42|
