Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|"ah,|, |0|, |0|, |0|, |0|, |0|
|assurance--based|, |0|, |0|, |1|, |0|, |1|
|instead|, |1|, |1|, |1|, |1|, |4|
|much,"|, |0|, |0|, |2|, |1|, |3|
|ante-chamber|, |1|, |0|, |1|, |0|, |2|
|real|, |2|, |0|, |2|, |0|, |4|
|loosely|, |1|, |1|, |1|, |1|, |4|
|quantity|, |1|, |0|, |0|, |0|, |1|
|presently|, |4|, |5|, |1|, |3|, |13|
|rested|, |2|, |2|, |2|, |2|, |8|
|something|, |13|, |14|, |13|, |14|, |54|
|slab|, |1|, |1|, |1|, |1|, |4|
|ice|, |1|, |1|, |1|, |1|, |4|
|311|, |1|, |0|, |0|, |0|, |1|
|conceived|, |1|, |0|, |0|, |0|, |1|
|occasionally,|, |0|, |0|, |0|, |0|, |0|
|i,|, |0|, |0|, |0|, |0|, |0|
|intimate,|, |0|, |0|, |1|, |0|, |1|
|expectations|, |1|, |0|, |1|, |0|, |2|
|stock|, |2|, |0|, |1|, |0|, |3|
|clearly|, |2|, |0|, |1|, |0|, |3|
|different.|, |0|, |0|, |1|, |0|, |1|
|difficulty|, |1|, |1|, |0|, |0|, |2|
|curl|, |1|, |0|, |1|, |0|, |2|
|blushing.|, |0|, |0|, |2|, |2|, |4|
|favor.|, |0|, |0|, |0|, |1|, |1|
|provencal|, |0|, |0|, |0|, |0|, |0|
|notes|, |3|, |3|, |1|, |1|, |8|
|cheeks|, |1|, |2|, |0|, |0|, |3|
|glad|, |1|, |1|, |1|, |1|, |4|
|touching.|, |0|, |0|, |0|, |1|, |1|
|died|, |1|, |1|, |1|, |1|, |4|
|prosaic|, |1|, |1|, |1|, |1|, |4|
|recommended|, |1|, |1|, |1|, |1|, |4|
|added,|, |0|, |0|, |3|, |9|, |12|
|you--whom|, |0|, |0|, |1|, |0|, |1|
|one.|, |0|, |0|, |1|, |2|, |3|
|fait_|, |1|, |1|, |0|, |0|, |2|
|thence|, |1|, |1|, |1|, |1|, |4|
|intently|, |0|, |1|, |0|, |0|, |1|
|strictly|, |1|, |0|, |1|, |0|, |2|
|expanded|, |0|, |2|, |0|, |2|, |4|
|charming."|, |0|, |0|, |0|, |1|, |1|
|seated|, |4|, |2|, |4|, |2|, |12|
|such|, |16|, |8|, |13|, |8|, |45|
|extent|, |1|, |0|, |1|, |0|, |2|
|also,|, |0|, |0|, |1|, |0|, |1|
|pointing|, |1|, |1|, |1|, |1|, |4|
|demurred|, |1|, |0|, |1|, |0|, |2|
|matched:|, |0|, |0|, |1|, |0|, |1|
|saw|, |17|, |22|, |16|, |21|, |76|
|voyage|, |1|, |1|, |0|, |0|, |2|
|antecedent|, |1|, |1|, |1|, |0|, |3|
|anxious|, |2|, |1|, |2|, |1|, |6|
|this:|, |0|, |0|, |1|, |1|, |2|
|waiting-maid.|, |0|, |0|, |1|, |1|, |2|
|duly|, |1|, |0|, |1|, |0|, |2|
|amused,|, |0|, |0|, |0|, |1|, |1|
|strained|, |1|, |0|, |1|, |0|, |2|
|"pardon|, |0|, |0|, |0|, |0|, |0|
|avignon|, |0|, |0|, |0|, |0|, |0|
|curtsey|, |2|, |2|, |0|, |0|, |4|
|flirting|, |2|, |2|, |1|, |0|, |5|
|nature|, |0|, |0|, |0|, |0|, |0|
|welcome?|, |0|, |0|, |1|, |0|, |1|
|mixter."|, |0|, |0|, |0|, |0|, |0|
|happy|, |4|, |2|, |3|, |1|, |10|
|fascinated."|, |0|, |0|, |1|, |0|, |1|
|cafe;|, |0|, |0|, |1|, |0|, |1|
|_epreuve_--_elles|, |0|, |0|, |1|, |0|, |1|
|rosary|, |1|, |0|, |0|, |0|, |1|
|companion|, |12|, |8|, |9|, |5|, |34|
|knees|, |2|, |2|, |1|, |2|, |7|
|outside,|, |0|, |0|, |1|, |1|, |2|
|rue|, |0|, |0|, |0|, |0|, |0|
|"under|, |0|, |0|, |0|, |0|, |0|
|serenity.|, |0|, |0|, |0|, |1|, |1|
|here?"|, |0|, |0|, |1|, |2|, |3|
|inside|, |1|, |1|, |0|, |0|, |2|
|boulevard|, |0|, |2|, |0|, |0|, |2|
|death;|, |0|, |0|, |0|, |1|, |1|
|provocation;|, |0|, |0|, |0|, |1|, |1|
|'everything'|, |0|, |0|, |0|, |0|, |0|
|old-fashioned|, |1|, |2|, |1|, |2|, |6|
|narrow|, |1|, |2|, |1|, |2|, |6|
|marquise,|, |0|, |0|, |0|, |0|, |0|
|ii|, |0|, |0|, |0|, |0|, |0|
|doorpost|, |0|, |1|, |0|, |0|, |1|
|lost|, |3|, |2|, |3|, |2|, |10|
|say|, |14|, |10|, |9|, |9|, |42|
|expressively|, |1|, |1|, |1|, |0|, |3|
|six|, |1|, |2|, |1|, |2|, |6|
|inquired|, |0|, |3|, |0|, |0|, |3|
|woman|, |7|, |7|, |5|, |4|, |23|
|forms|, |1|, |0|, |1|, |0|, |2|
|herself.|, |0|, |0|, |1|, |1|, |2|
|,|, |646|, |726|, |0|, |0|, |1372|
|headshake--as|, |0|, |0|, |1|, |0|, |1|
|quince-trees,|, |0|, |0|, |1|, |0|, |1|
|slowly|, |2|, |2|, |2|, |2|, |8|
|door-post|, |1|, |0|, |1|, |0|, |2|
|tell|, |8|, |8|, |8|, |8|, |32|
|side-street|, |1|, |0|, |0|, |0|, |1|
|clean|, |2|, |1|, |2|, |1|, |6|
|it;|, |0|, |0|, |3|, |6|, |9|
|minister's|, |0|, |0|, |5|, |5|, |10|
|edifying|, |1|, |0|, |1|, |0|, |2|
|announced.|, |0|, |0|, |0|, |1|, |1|
|everything.|, |0|, |0|, |2|, |4|, |6|
|faces!"|, |0|, |0|, |1|, |1|, |2|
|portfolio|, |3|, |4|, |3|, |2|, |12|
|men."|, |0|, |0|, |1|, |1|, |2|
|302|, |1|, |0|, |0|, |0|, |1|
|miraculous|, |1|, |0|, |0|, |0|, |1|
|"oh|, |0|, |0|, |0|, |0|, |0|
|must|, |17|, |12|, |15|, |12|, |56|
|wicked|, |1|, |0|, |0|, |0|, |1|
|salient|, |1|, |0|, |1|, |0|, |2|
|utterance|, |0|, |1|, |0|, |1|, |2|
|memory|, |0|, |1|, |0|, |1|, |2|
|lowered,|, |0|, |0|, |0|, |1|, |1|
|excitedly|, |1|, |0|, |0|, |0|, |1|
|school-mistress|, |1|, |0|, |1|, |0|, |2|
|pretended|, |1|, |0|, |1|, |0|, |2|
|apricots.|, |0|, |0|, |2|, |3|, |5|
|europe?"|, |0|, |0|, |0|, |0|, |0|
|gaiety."|, |0|, |0|, |1|, |0|, |1|
|foppishness|, |0|, |1|, |0|, |0|, |1|
|rich.|, |0|, |0|, |0|, |1|, |1|
|.|, |691|, |647|, |0|, |0|, |1338|
|yearning,|, |0|, |0|, |1|, |0|, |1|
|miraculous,|, |0|, |0|, |1|, |0|, |1|
|you--you|, |0|, |0|, |1|, |1|, |2|
|hypocritically|, |1|, |1|, |0|, |0|, |2|
|tapestry--"he|, |0|, |0|, |1|, |0|, |1|
|now."|, |0|, |0|, |1|, |0|, |1|
|abundance|, |1|, |1|, |0|, |0|, |2|
|primordial|, |0|, |1|, |0|, |0|, |1|
|communicate|, |1|, |1|, |0|, |0|, |2|
|silent|, |0|, |1|, |0|, |1|, |2|
|repeated|, |3|, |2|, |2|, |1|, |8|
|do.|, |0|, |0|, |1|, |0|, |1|
|money,"|, |0|, |0|, |2|, |1|, |3|
|farewell.|, |0|, |0|, |0|, |1|, |1|
|if|, |46|, |26|, |41|, |21|, |134|
|arm|, |3|, |4|, |3|, |3|, |13|
|accordingly|, |0|, |0|, |0|, |0|, |0|
|tendencies.|, |0|, |0|, |0|, |1|, |1|
|lodged|, |1|, |1|, |0|, |0|, |2|
|mirror|, |1|, |1|, |1|, |1|, |4|
|gate|, |1|, |1|, |1|, |1|, |4|
|belle_"|, |0|, |0|, |0|, |1|, |1|
|removing|, |0|, |1|, |0|, |1|, |2|
|mixter|, |0|, |0|, |0|, |0|, |0|
|i'm|, |0|, |0|, |0|, |0|, |0|
|miles|, |2|, |0|, |1|, |0|, |3|
|(282)|, |0|, |0|, |1|, |0|, |1|
|admired|, |1|, |0|, |0|, |0|, |1|
|up!|, |0|, |0|, |1|, |0|, |1|
|"nice|, |0|, |0|, |0|, |0|, |0|
|dame_|, |1|, |0|, |1|, |0|, |2|
|distress."|, |0|, |0|, |1|, |1|, |2|
|favour|, |1|, |0|, |0|, |0|, |1|
|once|, |7|, |3|, |6|, |3|, |19|
|appeared|, |4|, |2|, |3|, |2|, |11|
|engaged|, |3|, |0|, |3|, |0|, |6|
|agreeable|, |1|, |3|, |1|, |3|, |8|
|decidedly,|, |0|, |0|, |0|, |0|, |0|
|"why|, |0|, |0|, |0|, |0|, |0|
|fancy|, |1|, |1|, |1|, |1|, |4|
|aesthetic|, |1|, |0|, |1|, |0|, |2|
|elatedly|, |1|, |0|, |1|, |0|, |2|
|reflexion|, |1|, |0|, |1|, |0|, |2|
|plate|, |2|, |2|, |1|, |1|, |6|
|themselves|, |2|, |1|, |2|, |1|, |6|
|waited.|, |0|, |0|, |1|, |1|, |2|
|about:|, |0|, |0|, |1|, |0|, |1|
|_trottoir_.|, |0|, |0|, |0|, |1|, |1|
|admitted|, |1|, |1|, |1|, |1|, |4|
|staircase."|, |0|, |0|, |0|, |1|, |1|
|indicated|, |2|, |1|, |2|, |1|, |6|
|ground|, |0|, |2|, |0|, |1|, |3|
|money.|, |0|, |0|, |3|, |2|, |5|
|elapsed.|, |0|, |0|, |1|, |1|, |2|
|bouk,|, |0|, |0|, |0|, |1|, |1|
|says|, |2|, |0|, |0|, |0|, |2|
|monsieu|, |0|, |1|, |0|, |0|, |1|
|'bad'--the|, |0|, |0|, |1|, |0|, |1|
|often?"|, |0|, |0|, |1|, |1|, |2|
|last.|, |0|, |0|, |2|, |3|, |5|
|dream|, |3|, |2|, |0|, |0|, |5|
|clearest|, |1|, |0|, |1|, |0|, |2|
|relative,|, |0|, |0|, |1|, |0|, |1|
|instant.|, |0|, |0|, |0|, |1|, |1|
|kitchen|, |1|, |1|, |1|, |1|, |4|
|notes?"|, |0|, |0|, |1|, |1|, |2|
|ont|, |1|, |0|, |1|, |0|, |2|
|consolatory|, |1|, |1|, |1|, |1|, |4|
|landladies.|, |0|, |0|, |1|, |0|, |1|
|"have|, |0|, |0|, |0|, |0|, |0|
|departure.|, |0|, |0|, |0|, |1|, |1|
|steep|, |1|, |1|, |1|, |1|, |4|
|tenderly|, |1|, |1|, |0|, |0|, |2|
|havre."|, |0|, |0|, |0|, |0|, |0|
|excuse|, |1|, |1|, |1|, |1|, |4|
|rocking|, |1|, |0|, |1|, |0|, |2|
|inferred|, |2|, |0|, |2|, |0|, |4|
|every|, |5|, |2|, |5|, |2|, |14|
|pushed|, |2|, |2|, |2|, |2|, |8|
|returned.|, |0|, |0|, |4|, |0|, |4|
|queer|, |3|, |3|, |3|, |2|, |11|
|early|, |3|, |1|, |2|, |1|, |7|
|minute|, |1|, |0|, |1|, |0|, |2|
|charmante,|, |0|, |0|, |1|, |0|, |1|
|confined|, |2|, |1|, |1|, |0|, |4|
|side|, |9|, |10|, |7|, |7|, |33|
|observant;|, |0|, |0|, |0|, |1|, |1|
|yourself."|, |0|, |0|, |1|, |1|, |2|
|inmate.|, |0|, |0|, |1|, |0|, |1|
|dressed|, |1|, |0|, |1|, |0|, |2|
|yankee|, |0|, |0|, |0|, |0|, |0|
|gérôme|, |0|, |0|, |0|, |0|, |0|
|didn't|, |0|, |0|, |10|, |1|, |11|
|tray|, |1|, |1|, |0|, |0|, |2|
|justified|, |1|, |0|, |1|, |0|, |2|
|_all_|, |0|, |1|, |0|, |1|, |2|
|shy,"|, |0|, |0|, |1|, |1|, |2|
|stone|, |2|, |2|, |2|, |2|, |8|
|of."|, |0|, |0|, |0|, |1|, |1|
|gratifying,"|, |0|, |0|, |0|, |1|, |1|
|laugh.|, |0|, |0|, |0|, |2|, |2|
|questions.|, |0|, |0|, |0|, |1|, |1|
|prospect|, |1|, |1|, |1|, |1|, |4|
|commented|, |1|, |0|, |0|, |0|, |1|
|assented,|, |0|, |0|, |1|, |1|, |2|
|advance.|, |0|, |0|, |1|, |0|, |1|
|"has|, |0|, |0|, |0|, |0|, |0|
|docked--i|, |0|, |0|, |0|, |0|, |0|
|hostess.|, |0|, |0|, |0|, |1|, |1|
|mantelshelf|, |0|, |1|, |0|, |0|, |1|
|discovered|, |0|, |1|, |0|, |1|, |2|
|church;|, |0|, |0|, |1|, |1|, |2|
|work|, |2|, |1|, |1|, |0|, |4|
|307|, |1|, |0|, |0|, |0|, |1|
|away:|, |0|, |0|, |1|, |0|, |1|
|provencale."|, |0|, |0|, |0|, |0|, |0|
|motioned|, |1|, |1|, |1|, |1|, |4|
|spain,|, |0|, |0|, |0|, |0|, |0|
|pocket."|, |0|, |0|, |1|, |1|, |2|
|example,|, |0|, |0|, |1|, |2|, |3|
|interest;|, |0|, |0|, |0|, |1|, |1|
|doorpost,|, |0|, |0|, |0|, |1|, |1|
|lips.|, |0|, |0|, |0|, |1|, |1|
|scene|, |1|, |0|, |1|, |0|, |2|
|course.|, |0|, |0|, |1|, |0|, |1|
|jump|, |1|, |1|, |1|, |1|, |4|
|lives|, |1|, |1|, |1|, |0|, |3|
|levant.|, |0|, |0|, |0|, |0|, |0|
|developed|, |2|, |0|, |1|, |0|, |3|
|responding|, |1|, |1|, |1|, |1|, |4|
|what,|, |0|, |0|, |1|, |1|, |2|
|"gérôme."|, |0|, |0|, |0|, |0|, |0|
|hero|, |2|, |1|, |2|, |0|, |5|
|manipulated|, |1|, |0|, |1|, |0|, |2|
|leading|, |1|, |0|, |1|, |0|, |2|
|words|, |5|, |2|, |3|, |1|, |11|
|"europe,|, |0|, |0|, |0|, |0|, |0|
|he'll|, |0|, |0|, |1|, |0|, |1|
|o'clock,|, |0|, |0|, |1|, |0|, |1|
|theatre's|, |0|, |0|, |1|, |0|, |1|
|authority.|, |0|, |0|, |1|, |0|, |1|
|moving,|, |0|, |0|, |1|, |1|, |2|
|to;|, |0|, |0|, |0|, |1|, |1|
|frame|, |1|, |0|, |0|, |0|, |1|
|1885|, |0|, |1|, |0|, |1|, |2|
|know?"|, |0|, |0|, |1|, |1|, |2|
|partook|, |1|, |0|, |0|, |0|, |1|
|back!|, |0|, |0|, |0|, |1|, |1|
|that!|, |0|, |0|, |2|, |0|, |2|
|betrayed|, |0|, |1|, |0|, |1|, |2|
|hard.|, |0|, |0|, |1|, |0|, |1|
|romance,"|, |0|, |0|, |1|, |0|, |1|
|disinherited|, |0|, |1|, |0|, |1|, |2|
|reason|, |0|, |1|, |0|, |1|, |2|
|wonderfully|, |1|, |0|, |1|, |0|, |2|
|england--insists|, |0|, |0|, |0|, |0|, |0|
|eyebrows|, |1|, |0|, |1|, |0|, |2|
|prompt|, |2|, |0|, |1|, |0|, |3|
|harbour--that|, |0|, |0|, |1|, |0|, |1|
|flourished|, |1|, |1|, |1|, |1|, |4|
|cheeks.|, |0|, |0|, |1|, |2|, |3|
|approached|, |3|, |2|, |3|, |2|, |10|
|ever.|, |0|, |0|, |2|, |2|, |4|
|diminutive|, |1|, |1|, |1|, |1|, |4|
|sortes_|, |1|, |0|, |0|, |0|, |1|
|smile,|, |0|, |0|, |1|, |1|, |2|
|pensioner--whether|, |0|, |0|, |1|, |0|, |1|
|me--"|, |0|, |0|, |0|, |1|, |1|
|madam."|, |0|, |0|, |0|, |1|, |1|
|cap|, |3|, |3|, |2|, |1|, |9|
|florence|, |0|, |0|, |0|, |0|, |0|
|answered.|, |0|, |0|, |1|, |4|, |5|
|see--and|, |0|, |0|, |1|, |0|, |1|
|contrary,|, |0|, |0|, |0|, |1|, |1|
|'d|, |8|, |0|, |0|, |0|, |8|
|manner|, |3|, |0|, |3|, |0|, |6|
|shade;|, |0|, |0|, |1|, |1|, |2|
|bran.|, |0|, |0|, |1|, |1|, |2|
|acquaintance|, |2|, |2|, |2|, |2|, |8|
|stopped;|, |0|, |0|, |0|, |1|, |1|
|ribbons|, |2|, |2|, |2|, |2|, |8|
|so,"|, |0|, |0|, |1|, |0|, |1|
|limits|, |1|, |0|, |1|, |0|, |2|
|exclaimed|, |0|, |4|, |0|, |1|, |5|
|interest--as|, |0|, |0|, |1|, |0|, |1|
|remainder|, |1|, |0|, |1|, |0|, |2|
|foolish|, |1|, |1|, |0|, |0|, |2|
|thoroughly|, |0|, |0|, |0|, |0|, |0|
|(292)|, |0|, |0|, |1|, |0|, |1|
|plausibility|, |1|, |0|, |0|, |0|, |1|
|sail|, |1|, |1|, |0|, |1|, |3|
|commixture|, |0|, |1|, |0|, |1|, |2|
|word|, |2|, |1|, |1|, |1|, |5|
|money|, |14|, |15|, |0|, |2|, |31|
|joke|, |1|, |0|, |1|, |0|, |2|
|shaven|, |1|, |1|, |1|, |1|, |4|
|daughter|, |1|, |0|, |1|, |0|, |2|
|interrupt.|, |0|, |0|, |0|, |1|, |1|
|lifting|, |1|, |1|, |1|, |1|, |4|
|needle|, |1|, |1|, |1|, |1|, |4|
|_trottoir_|, |0|, |1|, |0|, |0|, |1|
|gently,|, |0|, |0|, |1|, |0|, |1|
|any.|, |0|, |0|, |1|, |0|, |1|
|hours|, |3|, |4|, |3|, |2|, |12|
|accent,|, |0|, |0|, |2|, |1|, |3|
|"waited|, |0|, |0|, |0|, |0|, |0|
|stay,|, |0|, |0|, |1|, |0|, |1|
|gesture|, |0|, |1|, |0|, |0|, |1|
|doorway|, |1|, |1|, |1|, |1|, |4|
|wicked,|, |0|, |0|, |1|, |0|, |1|
|existence_!|, |0|, |0|, |1|, |0|, |1|
|affliction,|, |0|, |0|, |0|, |1|, |1|
|kind;|, |0|, |0|, |1|, |1|, |2|
|happiest|, |1|, |0|, |0|, |0|, |1|
|repaired|, |1|, |1|, |1|, |1|, |4|
|some|, |23|, |19|, |23|, |19|, |84|
|travel|, |2|, |2|, |1|, |2|, |7|
|told|, |11|, |12|, |11|, |12|, |46|
|direction|, |1|, |1|, |1|, |1|, |4|
|slackened|, |1|, |1|, |1|, |1|, |4|
|acquired|, |1|, |0|, |1|, |0|, |2|
|coffee|, |13|, |11|, |5|, |3|, |32|
|singing|, |1|, |1|, |1|, |1|, |4|
|shutter|, |1|, |0|, |0|, |0|, |1|
|young|, |17|, |17|, |17|, |17|, |68|
|protuberant|, |1|, |0|, |1|, |0|, |2|
|happens|, |1|, |1|, |1|, |1|, |4|
|one,"|, |0|, |0|, |1|, |0|, |1|
|freshness.|, |0|, |0|, |1|, |0|, |1|
|_cafés-concerts_,|, |0|, |0|, |0|, |1|, |1|
|marks:|, |0|, |0|, |1|, |0|, |1|
|--|, |189|, |46|, |0|, |0|, |235|
|inns|, |1|, |1|, |0|, |0|, |2|
|_sourire|, |1|, |0|, |1|, |0|, |2|
|amusing|, |1|, |1|, |0|, |0|, |2|
|nobody,|, |0|, |0|, |1|, |0|, |1|
|side,|, |0|, |0|, |0|, |2|, |2|
|dreadfully|, |1|, |1|, |0|, |0|, |2|
|already,|, |0|, |0|, |1|, |0|, |1|
|retained|, |1|, |0|, |0|, |0|, |1|
|instructress|, |1|, |0|, |1|, |0|, |2|
|sojourn|, |0|, |1|, |0|, |1|, |2|
|concerned|, |1|, |0|, |1|, |0|, |2|
|_quelle|, |0|, |0|, |0|, |0|, |0|
|to,"|, |0|, |0|, |1|, |0|, |1|
|attributes.|, |0|, |0|, |1|, |1|, |2|
|"race."|, |0|, |0|, |1|, |0|, |1|
|doing--amusing|, |0|, |0|, |1|, |0|, |1|
|behind;|, |0|, |0|, |1|, |1|, |2|
|generous|, |1|, |1|, |0|, |0|, |2|
|easily|, |2|, |2|, |2|, |2|, |8|
|drawing:|, |0|, |0|, |1|, |1|, |2|
|(288)|, |0|, |0|, |1|, |0|, |1|
|madam,|, |0|, |0|, |2|, |1|, |3|
|speedily;|, |0|, |0|, |0|, |1|, |1|
|tender|, |2|, |2|, |2|, |2|, |8|
|impenetrable|, |1|, |0|, |0|, |0|, |1|
|mal_,"|, |0|, |0|, |1|, |0|, |1|
|cafes-concerts?|, |0|, |0|, |1|, |0|, |1|
|pain|, |1|, |1|, |0|, |0|, |2|
|facts|, |1|, |0|, |1|, |0|, |2|
|round!"|, |0|, |0|, |1|, |0|, |1|
|wave|, |2|, |0|, |1|, |0|, |3|
|extraordinary|, |2|, |0|, |2|, |0|, |4|
|ne|, |1|, |0|, |1|, |0|, |2|
|can't|, |0|, |0|, |4|, |3|, |7|
|white|, |6|, |8|, |5|, |7|, |26|
|charmed|, |1|, |0|, |1|, |0|, |2|
|flatness.|, |0|, |0|, |1|, |0|, |1|
|virtue,|, |0|, |0|, |1|, |0|, |1|
|moment--"is|, |0|, |0|, |0|, |1|, |1|
|theatre|, |1|, |1|, |0|, |1|, |3|
|returned--no|, |0|, |0|, |1|, |0|, |1|
|holiday,|, |0|, |0|, |0|, |1|, |1|
|recalled|, |1|, |1|, |1|, |1|, |4|
|beyond|, |3|, |1|, |3|, |1|, |8|
|gave|, |11|, |14|, |11|, |14|, |50|
|conquered|, |1|, |0|, |1|, |0|, |2|
|(275)|, |0|, |0|, |1|, |0|, |1|
|glanced|, |3|, |6|, |3|, |6|, |18|
|words.|, |0|, |0|, |1|, |1|, |2|
|appealing.|, |0|, |0|, |1|, |0|, |1|
|available."|, |0|, |0|, |1|, |0|, |1|
|is!|, |0|, |0|, |1|, |1|, |2|
|identity|, |1|, |0|, |0|, |0|, |1|
|home,|, |0|, |0|, |0|, |2|, |2|
|thinking|, |1|, |3|, |1|, |3|, |8|
|music,|, |0|, |0|, |1|, |0|, |1|
|birth,|, |0|, |0|, |1|, |0|, |1|
|bowed|, |1|, |1|, |1|, |1|, |4|
|presentiment|, |0|, |1|, |0|, |1|, |2|
|husband,|, |0|, |0|, |2|, |2|, |4|
|lived,|, |0|, |0|, |1|, |0|, |1|
|rack|, |1|, |0|, |0|, |0|, |1|
|paris|, |0|, |0|, |0|, |0|, |0|
|countess-cousin,|, |0|, |0|, |0|, |1|, |1|
|(294)|, |0|, |0|, |1|, |0|, |1|
|advance|, |1|, |0|, |0|, |0|, |1|
|neatness,|, |0|, |0|, |1|, |0|, |1|
|propose|, |1|, |1|, |1|, |1|, |4|
|'ye|, |0|, |2|, |0|, |2|, |4|
|day--just|, |0|, |0|, |1|, |0|, |1|
|sallied|, |1|, |0|, |1|, |0|, |2|
|dark|, |1|, |1|, |1|, |1|, |4|
|emotion|, |0|, |1|, |0|, |0|, |1|
|paris;|, |0|, |0|, |0|, |0|, |0|
|gratefully|, |1|, |1|, |1|, |0|, |3|
|straw|, |3|, |3|, |3|, |3|, |12|
|small|, |26|, |18|, |26|, |18|, |88|
|struck|, |3|, |1|, |3|, |1|, |8|
|sleeper|, |1|, |1|, |1|, |1|, |4|
|travelling.|, |0|, |0|, |1|, |1|, |2|
|many-storied|, |1|, |1|, |1|, |1|, |4|
|suddenly|, |2|, |4|, |1|, |1|, |8|
|months|, |6|, |5|, |3|, |3|, |17|
|back;|, |0|, |0|, |1|, |1|, |2|
|stopped|, |3|, |3|, |1|, |1|, |8|
|weeks|, |1|, |1|, |1|, |1|, |4|
|"i|, |0|, |0|, |0|, |0|, |0|
|country|, |4|, |4|, |1|, |2|, |11|
|"make|, |0|, |0|, |0|, |0|, |0|
|full|, |3|, |1|, |3|, |1|, |8|
|christmas|, |0|, |0|, |0|, |0|, |0|
|ye|, |2|, |0|, |2|, |0|, |4|
|youth.|, |0|, |0|, |1|, |0|, |1|
|novel;|, |0|, |0|, |0|, |1|, |1|
|signed|, |1|, |1|, |1|, |1|, |4|
|scanty|, |2|, |2|, |2|, |2|, |8|
|why|, |5|, |4|, |2|, |1|, |12|
|could?"|, |0|, |0|, |1|, |1|, |2|
|singularly|, |1|, |1|, |1|, |1|, |4|
|half-bewildered|, |1|, |0|, |0|, |0|, |1|
|costume,|, |0|, |0|, |1|, |1|, |2|
|know."|, |0|, |0|, |1|, |1|, |2|
|more|, |22|, |18|, |19|, |13|, |72|
|spencer's|, |0|, |0|, |0|, |0|, |0|
|window|, |1|, |1|, |0|, |0|, |2|
|hope,"|, |0|, |0|, |2|, |0|, |2|
|style|, |1|, |0|, |0|, |0|, |1|
|lessons.|, |0|, |0|, |0|, |1|, |1|
|countess|, |0|, |5|, |0|, |1|, |6|
|schoolmistress|, |0|, |1|, |0|, |1|, |2|
|local|, |1|, |1|, |1|, |1|, |4|
|beautifully|, |1|, |1|, |1|, |1|, |4|
|elegant|, |1|, |0|, |1|, |0|, |2|
|aud|, |0|, |1|, |0|, |1|, |2|
|j'adore|, |0|, |0|, |0|, |0|, |0|
|green|, |4|, |3|, |4|, |3|, |14|
|tightly|, |1|, |1|, |1|, |1|, |4|
|inn,|, |0|, |0|, |0|, |1|, |1|
|tongue|, |0|, |1|, |0|, |0|, |1|
|sailed|, |1|, |0|, |1|, |0|, |2|
|rudiments|, |1|, |0|, |1|, |0|, |2|
|night.|, |0|, |0|, |1|, |1|, |2|
|remembered|, |1|, |2|, |1|, |2|, |6|
|charity|, |1|, |1|, |0|, |0|, |2|
|familiarity|, |1|, |0|, |1|, |0|, |2|
|fat|, |2|, |1|, |2|, |1|, |6|
|curled|, |0|, |1|, |0|, |1|, |2|
|came."|, |0|, |0|, |1|, |1|, |2|
|tendencies|, |0|, |1|, |0|, |0|, |1|
|brother-in-law,|, |0|, |0|, |1|, |1|, |2|
|intensity|, |1|, |0|, |0|, |0|, |1|
|coffee.|, |0|, |0|, |3|, |3|, |6|
|farther|, |0|, |1|, |0|, |1|, |2|
|banker|, |4|, |4|, |0|, |0|, |8|
|would,|, |0|, |0|, |1|, |0|, |1|
|terrace|, |1|, |0|, |1|, |0|, |2|
|shed|, |1|, |1|, |1|, |1|, |4|
|upliftedness.|, |0|, |0|, |1|, |0|, |1|
|says,|, |0|, |0|, |1|, |0|, |1|
|dress!|, |0|, |0|, |1|, |1|, |2|
|outrage.|, |0|, |0|, |1|, |0|, |1|
|established|, |1|, |1|, |0|, |0|, |2|
|dear|, |11|, |9|, |8|, |7|, |35|
|suis|, |1|, |0|, |1|, |0|, |2|
|portico|, |1|, |1|, |0|, |0|, |2|
|disagreeable|, |2|, |4|, |2|, |4|, |12|
|work--this|, |0|, |0|, |1|, |0|, |1|
|moments."|, |0|, |0|, |1|, |1|, |2|
|stayed|, |0|, |1|, |0|, |1|, |2|
|grain|, |1|, |0|, |1|, |0|, |2|
|world."|, |0|, |0|, |1|, |1|, |2|
|specimen|, |1|, |1|, |1|, |1|, |4|
|participation|, |1|, |0|, |0|, |0|, |1|
|'ve|, |36|, |0|, |0|, |0|, |36|
|delight|, |1|, |0|, |0|, |0|, |1|
|chere_|, |1|, |0|, |0|, |0|, |1|
|no,"|, |0|, |0|, |0|, |1|, |1|
|about;|, |0|, |0|, |0|, |1|, |1|
|house-fronts|, |1|, |1|, |1|, |1|, |4|
|unclouded|, |1|, |0|, |1|, |0|, |2|
|watch|, |1|, |1|, |1|, |1|, |4|
|her|, |244|, |220|, |205|, |187|, |856|
|credence,|, |0|, |0|, |0|, |1|, |1|
|shining|, |2|, |0|, |2|, |0|, |4|
|dining|, |1|, |1|, |1|, |1|, |4|
|since."|, |0|, |0|, |1|, |0|, |1|
|caught|, |4|, |2|, |3|, |2|, |11|
|await|, |1|, |1|, |1|, |1|, |4|
|mistaken|, |1|, |1|, |1|, |0|, |3|
|credit.|, |0|, |0|, |1|, |1|, |2|
|amused|, |0|, |1|, |0|, |0|, |1|
|de|, |5|, |1|, |5|, |1|, |12|
|"didn't|, |0|, |0|, |1|, |0|, |1|
|start."|, |0|, |0|, |1|, |0|, |1|
|half-amused,|, |0|, |0|, |1|, |0|, |1|
